lat,lon,uv_month_1,uv_month_2,uv_month_3,uv_month_4,uv_month_5,uv_month_6,uv_month_7,uv_month_8,uv_month_9,uv_month_10,uv_month_11,uv_month_12
24.56,9.82,1.1798036465638149,1.5666101694915255,1.9858625525946705,2.28868115942029,2.4686676016830296,2.592550724637681,2.7898457223001403,2.5928471248246847,2.2550289855072463,1.7585974754558207,1.3215072463768116,1.0609396914446003
24.56,10.82,1.1573492286115008,1.5340369799691833,2.009859747545582,2.3168115942028984,2.5030995792426367,2.6279855072463767,2.8536325385694252,2.6653997194950914,2.313521739130435,1.7588359046283308,1.2972608695652175,1.0384011220196354
24.56,11.82,1.7247966339410938,2.235639445300462,2.842468443197756,2.846159420289855,2.9519495091164094,3.075913043478261,3.297531556802244,3.1311360448807855,2.935463768115942,2.5560028050490886,1.9122028985507247,1.5666900420757364
25.56,-6.18,0.934936886395512,1.2205546995377503,1.7031977559607294,2.104710144927536,2.308443197755961,2.4026521739130433,2.397643758765778,2.2617671809256663,1.917855072463768,1.5295932678821877,1.096695652173913,0.8431136044880785
25.56,-5.18,0.9318653576437587,1.2257627118644068,1.6802805049088358,2.102086956521739,2.2901683029453017,2.367,2.3522861150070127,2.2266619915848525,1.8984927536231884,1.5123842917251051,1.0879710144927537,0.8357223001402525
25.56,-4.18,0.9650070126227208,1.2630662557781203,1.6735764375876578,2.0799565217391307,2.2661290322580645,2.3436666666666666,2.345764375876578,2.210883590462833,1.9073188405797101,1.5040813464235625,1.0891884057971013,0.8676437587657784
25.56,-3.18,0.9499158485273492,1.2415716486902928,1.6761430575035061,2.085086956521739,2.263688639551192,2.346289855072464,2.338485273492286,2.206844319775596,1.9316811594202896,1.5043478260869565,1.1011739130434781,0.8538008415147265
25.56,-2.18,0.9684852734922861,1.2647303543913713,1.6746704067321179,2.075550724637681,2.2513464235624125,2.3630579710144928,2.3607152875175315,2.2286535764375874,1.926865021770682,1.504179523141655,1.109217391304348,0.8614305750350632
25.56,-1.18,0.9900280504908836,1.311371340523883,1.7846844319775597,2.1497681159420288,2.3281767180925668,2.431463768115942,2.424978962131837,2.26890603085554,1.947764876632801,1.5506171107994389,1.143550724637681,0.904446002805049
25.56,-0.18,0.9938849929873773,1.3167642526964562,1.7770967741935484,2.1072028985507245,2.2671107994389903,2.3981884057971015,2.3904488078541375,2.2573071528751756,1.9341944847605226,1.5619635343618514,1.1329130434782608,0.8915568022440392
25.56,0.82,0.9680224403927069,1.25788906009245,1.6893548387096775,2.0369565217391306,2.2033800841514726,2.335768115942029,2.3516830294530155,2.1997054698457226,1.9260289855072463,1.517671809256662,1.1235797101449274,0.8805049088359046
25.56,1.82,1.001570827489481,1.3119876733436056,1.7098457223001402,2.0873478260869565,2.2621739130434784,2.3745217391304347,2.419270687237027,2.2566619915848527,1.947478260869565,1.5484712482468443,1.1367391304347827,0.9128190743338009
25.56,2.82,1.0099719495091164,1.3261171032357473,1.7105750350631137,2.1025797101449273,2.269186535764376,2.383536231884058,2.428892005610098,2.254053295932679,1.9602318840579709,1.549929873772791,1.1379710144927537,0.9176577840112201
25.56,3.82,1.0329172510518934,1.351848998459168,1.7999158485273492,2.1787246376811593,2.358415147265077,2.488971014492754,2.583366058906031,2.3967321178120615,2.038072463768116,1.5996072931276297,1.1742463768115943,0.9348387096774193
25.56,4.82,1.0568443197755961,1.3940677966101696,1.8719354838709679,2.2500434782608694,2.3952314165497897,2.489550724637681,2.6180645161290323,2.427461430575035,2.0646666666666667,1.6400420757363252,1.2036086956521739,0.9552875175315568
25.56,5.82,1.0730434782608695,1.4093528505392912,1.8607152875175317,2.2019275362318838,2.3779663394109396,2.5425072463768115,2.694992987377279,2.5148948106591864,2.1408840579710144,1.661234221598878,1.2109420289855073,0.9676858345021039
25.56,6.82,1.0887938288920056,1.436055469953775,1.9188779803646565,2.255826086956522,2.408541374474053,2.5298985507246377,2.6891164095371667,2.502917251051893,2.144855072463768,1.6755960729312764,1.225695652173913,0.979663394109397
25.56,7.82,1.422131837307153,1.8767180277349769,2.4070406732117813,2.5207246376811594,2.638765778401122,2.805072463768116,3.0064375876577842,2.793702664796634,2.5104347826086957,2.2289200561009817,1.6404347826086958,1.2822159887798037
25.56,8.82,1.3838569424964937,1.834191063174114,2.3491444600280507,2.485144927536232,2.6370266479663393,2.801927536231884,3.0254698457223,2.7862692847124824,2.4643188405797103,2.087952314165498,1.5412898550724639,1.225960729312763
25.56,9.82,1.4680084151472652,1.9497996918335903,2.4547405329593266,2.5191884057971015,2.677798036465638,2.828333333333333,3.046998597475456,2.8143338008415144,2.516797101449275,2.17601683029453,1.6246231884057971,1.2985834502103786
26.56,-8.18,0.9240813464235624,1.2329121725731895,1.7298597475455821,2.137057971014493,2.358849929873773,2.4383913043478262,2.383506311360449,2.2439410939691444,1.9011739130434782,1.4630715287517533,1.0656376811594201,0.822538569424965
26.56,-7.18,0.9019635343618514,1.199815100154083,1.6653295932678824,2.079014492753623,2.284460028050491,2.340811594202899,2.3520336605890604,2.214446002805049,1.8747681159420289,1.456100981767181,1.0614202898550724,0.8143618513323982
26.56,-6.18,0.8857924263674615,1.1776733436055469,1.6634361851332398,2.086231884057971,2.286157082748948,2.3667391304347825,2.3772089761570827,2.231262272089762,1.877840579710145,1.4765638148667601,1.058927536231884,0.8099438990182328
26.56,-5.18,0.8888218793828893,1.1759784283513097,1.6129312762973351,2.0339420289855075,2.2467321178120616,2.331840579710145,2.326998597475456,2.194782608695652,1.8510434782608696,1.4479242636746141,1.0238260869565219,0.8010799438990182
26.56,-4.18,0.9129873772791024,1.203220338983051,1.6211079943899016,2.032449275362319,2.237952314165498,2.339434782608696,2.328569424964937,2.1806030855539973,1.8596086956521738,1.4504347826086958,1.0287246376811594,0.8244740532959327
26.56,-3.18,0.8895652173913043,1.2061633281972264,1.6180084151472651,2.0343333333333335,2.236984572230014,2.3424927536231883,2.344796633941094,2.1848106591865357,1.8891884057971013,1.44929873772791,1.0243188405797101,0.8049929873772792
26.56,-2.18,0.9194810659186536,1.2389830508474577,1.6973211781206172,2.0986666666666665,2.2691304347826087,2.4255072463768115,2.416704067321178,2.240070126227209,1.9138260869565218,1.484249649368864,1.0603623188405797,0.8374193548387098
26.56,-1.18,0.9377980364656381,1.2512480739599383,1.7257082748948107,2.099217391304348,2.2859467040673214,2.4294057971014493,2.45273492286115,2.2536605890603085,1.911072463768116,1.4818092566619916,1.061782608695652,0.8434642356241234
26.56,-0.18,0.9307854137447406,1.2520338983050847,1.6830434782608696,2.0305942028985506,2.20273492286115,2.3673478260869567,2.3942917251051896,2.215007012622721,1.892391304347826,1.4765497896213184,1.0671739130434783,0.8429593267882187
