REGISTRY,SEX,AGE_GROUP,P0_4,P5_9,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_79,P80_84,P85,P_unk
415609399,2,18,47504,74133,88218,78414,77920,66898,66757,78781,119884,125639,106714,76835,70367,48280,29490,29941,22278,14201,0
415609499,1,18,81880,86380,96047,140753,179459,130389,154213,201167,212248,174293,108747,88256,57807,49457,56392,33071,13442,4677,0
415609499,2,18,80736,87043,97128,140939,183361,141346,162277,203658,214742,176693,112602,93423,71225,74996,60785,31397,11530,4786,0
415609699,1,18,112960,126012,156698,181194,167944,182547,192216,199382,188244,185681,152867,125523,99810,64299,54843,37534,17644,5893,0
415609699,2,18,97494,112297,151236,168716,157348,163912,177881,183451,179606,170826,145182,121047,95201,68787,54980,50772,29515,14574,0
415609799,1,18,75747,84991,98863,123885,131235,134743,148452,201126,195770,167146,133252,114033,74202,50177,42498,27893,13196,4552,0
415609799,2,18,71925,79707,89921,107712,101606,122770,137001,187703,178653,146697,124009,115593,76077,51923,41534,27703,12304,5270,0
415609899,1,18,59492,56130,46227,48374,67838,111109,111942,102754,131590,116815,131347,106313,85711,51838,32455,23254,11574,5617,0
415609899,2,18,56187,53052,43433,45892,67757,115090,120884,109495,140936,123639,139829,113433,94096,61054,43091,33051,18693,10680,0
415609999,1,18,83544,85770,95124,108297,133903,157273,114399,100745,123587,128005,105241,98019,92508,69823,44593,29837,17617,11553,0
415609999,2,18,75110,71676,77126,87818,120013,142354,104690,95580,118263,124386,106529,102746,98024,74361,46345,34485,24858,22156,0
415610199,1,18,126716,138449,105025,99119,130704,132084,119856,122620,137119,152125,104326,62567,73935,62862,44959,31125,21792,15705,0
415610199,2,18,99797,112176,82744,83854,120181,133570,114893,113744,128740,148949,104196,62216,74874,60618,40471,30177,24453,24368,0
415610299,1,18,45929,46164,46386,47155,55884,59477,50318,61266,86832,79611,59465,41019,39727,28965,19610,13726,8961,4291,0
415610299,2,18,39461,39245,37273,37371,49128,60647,55585,66264,87025,77281,55912,39893,39377,27509,17680,13876,8978,5333,0
415610399,1,18,54208,54800,59457,69091,79686,94073,80659,92926,118154,141344,128997,111620,105985,79012,56560,43138,24862,11229,0
415610399,2,18,52184,53724,56903,65170,80235,93067,78904,88260,116531,144749,134391,114093,106725,78353,55666,46311,35815,26037,0
415610499,1,18,76535,73921,78520,99248,124284,161496,139221,161355,203099,223125,211150,190720,176082,116489,84226,66511,40978,31825,0
415610499,2,18,72400,70095,73544,96618,124405,166314,148559,157724,192619,221475,215880,193520,175970,114029,78402,63822,45000,39836,0
415610599,1,18,163833,156370,142192,182152,227506,249807,238967,223928,277597,270320,221135,150029,124566,81747,52548,43568,28285,18507,0
415610599,2,18,143120,134172,119422,159655,206593,219686,248602,255147,300583,269437,201468,138728,122669,81881,53100,41981,29311,26642,0
415611099,1,18,59986,65864,33480,37592,67644,59731,59051,74473,77759,70836,49805,41928,37509,24310,21527,14427,7858,3969,0
415611099,2,18,49391,61070,28139,34472,74723,54801,56915,68203,69797,69689,45789,42610,33089,23213,23495,17766,8560,6593,0
415611199,1,18,54815,62027,38592,54207,92300,83582,84198,68062,73949,83313,58756,68763,57472,33643,23153,15176,8618,3633,0
415611199,2,18,47752,55756,33178,49339,87382,84001,78150,67049,71182,80037,57805,70741,60458,34719,22787,16595,11080,6632,0
415611299,1,18,84634,94435,63840,85039,109527,99614,83102,107900,129586,128490,118633,104320,62831,35385,35765,23984,12613,4360,0
415611299,2,18,65158,81835,55986,75645,109799,101687,81797,103392,120708,131763,117191,102226,63541,38029,41857,26149,17197,5935,0
415611399,1,18,37465,56890,20859,37156,53813,70487,54778,65933,63248,68033,46456,50423,34239,20461,15229,9257,5125,2530,0
415611399,2,18,34285,51589,20584,34982,55898,68098,52600,61530,60764,68449,45939,49775,32628,18588,13612,8562,4643,2782,0
415611699,1,18,164435,241952,178634,155029,218822,276172,269875,227901,238300,269560,215645,212834,188555,130754,81786,61576,39334,22958,0
415611699,2,18,139049,194754,143542,120842,187870,258116,245250,201877,213349,239588,193402,193149,180126,127568,83102,65589,49896,38969,0
415611799,1,18,67523,63834,74060,66715,119025,107434,97862,113222,116956,126159,80052,84141,58438,39034,31470,20337,11987,4431,0
415611799,2,18,56390,56013,66266,67047,126514,123876,89250,117997,113612,120381,79241,85909,62025,43668,31472,19962,12250,5760,0
415611899,1,18,72272,67237,66591,70580,99676,116163,91325,83766,91579,106585,89372,40113,55123,51062,38376,27168,16697,10853,0
415611899,2,18,60215,54723,53053,57503,88550,115390,86489,72730,82887,108447,87591,38934,51787,45720,33743,24201,17614,18212,0
415612399,1,18,246348,226630,233015,320266,427824,395193,409039,469645,505128,529862,449370,436726,399754,271842,182612,125150,78073,46472,0
415612399,2,18,235071,211535,217754,299584,412861,429990,448227,512735,554181,556407,438749,419949,399904,282320,196908,150314,111937,86293,0
415612699,1,18,35844,34858,33532,45611,42896,51126,54258,49402,61011,65347,62771,57696,34866,39350,27769,19800,10636,5235,0
415612699,2,18,32069,30936,29218,37818,39334,46240,51495,48050,58750,64178,61663,56673,31915,37917,25307,20659,13051,9583,0
415612799,1,18,78659,83270,62535,112790,121742,120981,147342,168919,187374,179789,185431,182803,133434,110743,77340,45422,24747,11680,0
415612799,2,18,74104,78118,57669,104089,117389,120762,155204,173412,195074,184044,184876,182303,133292,108856,83917,57249,36076,22838,0
415613099,1,18,28095,28387,31948,41018,46266,54191,45282,51783,67018,70299,55346,37989,32635,22656,20906,17633,8624,3894,0
415613099,2,18,26285,27034,29949,38270,44210,52641,46706,54309,69447,72249,53178,34875,33051,26194,24607,17174,7764,3337,0
415613199,1,18,46099,46585,61968,74640,92319,113556,90203,108252,137056,155947,145455,122483,113932,82529,50244,35953,22234,18320,0
415613199,2,18,44007,44001,57008,71098,88197,110489,88497,106047,131948,154970,147469,125770,127842,81140,47763,32392,23941,22581,0
415613299,1,18,165410,197198,184661,215607,260681,261158,241393,251973,232231,255943,224590,139019,139138,112642,71489,48730,36487,26357,0
415613299,2,18,133548,153062,136994,160292,217046,252539,271585,283444,247821,250215,220713,151706,155902,129033,84580,57687,50240,51381,0
415613399,1,18,76615,75569,77024,84325,119824,147266,106203,122761,156657,257894,254025,198511,187265,133058,101489,81089,53614,32535,0
415613399,2,18,68057,64611,67384,74317,100562,137874,109205,125714,161567,253853,246559,183967,181192,136917,107421,90912,64977,52081,0
415613499,1,18,43086,46589,42325,50488,50928,52216,50424,52814,71766,72983,62841,43759,38790,33734,25869,19500,12277,6865,0
415613499,2,18,34081,36791,33114,39162,43924,52407,56290,61613,80056,79083,65289,44806,41777,32305,22277,18476,11993,8216,0
415613599,1,18,7162,7911,6622,9031,14888,16545,13913,19688,21852,26091,19381,18083,10251,4529,5270,3707,1827,583,0
415613599,2,18,6577,7316,6515,7905,11959,14254,12214,18372,20827,24099,19320,17939,10187,6729,6089,3721,1829,941,0
415613699,1,18,34760,44057,49859,61079,76022,78891,72974,86417,103294,116223,99313,83586,85166,57197,35981,25232,15393,15681,0
415613699,2,18,31078,38333,42276,51228,67554,75008,68846,79937,97259,114830,99953,82824,87678,59769,34214,23649,18047,20045,0
415613799,1,18,159105,202849,136279,75798,95715,156943,128923,125211,144036,136768,106442,84899,86501,69061,43563,34124,21396,9943,0
415613799,2,18,135035,176686,113598,69870,87482,146358,119975,112872,126288,129754,106212,77469,83974,52286,33565,29054,19164,14369,0
415613999,1,18,147139,150600,174858,194667,234999,225391,178437,211107,236499,259658,204551,108856,137097,122229,89581,64762,36786,21080,0
415613999,2,18,117326,115146,128318,145789,195595,206570,169148,186516,212955,251730,195242,106658,131385,116879,86475,66884,46129,39324,0
415614299,1,18,131330,150222,130000,113675,153750,197247,187050,159159,166896,150224,135965,107523,106512,71480,46824,35556,26915,21627,0
415614299,2,18,111640,133239,113342,93200,130424,182313,177215,149235,160791,156379,141499,106214,103400,61970,43295,33654,31405,33078,0
415614499,1,18,141645,119252,82867,65765,113919,199443,146245,93516,97145,142981,126234,95067,100842,67684,40250,26174,14727,7804,0
415614499,2,18,129001,109675,75529,63084,113039,201006,140583,85667,96666,141690,131116,97258,104748,72784,47563,33961,24125,18413,0
415614599,1,18,100067,103989,103659,91463,83205,130683,118620,117196,144819,176573,161973,103716,126604,81721,56305,42842,29033,15762,0
415614599,2,18,90773,93397,96698,87457,81093,129291,121251,116725,138243,173791,156726,102944,127229,91498,60092,47704,40386,29125,0
415614799,1,18,76339,72873,79733,103050,119736,94963,90292,123445,134410,118044,81164,86922,74555,50786,40281,27226,14242,6835,0
415614799,2,18,65244,61433,68558,94735,114019,89723,83920,115379,126255,109035,72755,79378,69261,50100,40931,30496,18379,11704,0
415614899,1,18,36251,32405,29171,35978,51597,59643,54263,52580,84560,108079,99511,42484,65097,47914,34719,23119,14781,11180,0
415614899,2,18,34324,31019,27750,34417,51052,63980,57385,54252,84961,103177,96384,45140,74961,56120,35579,24938,17387,13760,0
415615099,1,18,79921,69974,73614,87406,113728,143410,125435,129936,169705,257875,229876,201023,193471,154949,123703,89421,55285,30614,0
415615099,2,18,73954,65803,69663,83394,113353,145523,126901,136732,184558,268340,232312,195459,190161,151131,116675,95253,66590,54699,0
415615199,1,18,24765,30739,35165,58508,68102,72469,58427,92113,90888,107904,72176,63431,35832,20282,19012,14155,8606,3387,0
415615199,2,18,23860,28830,35927,61603,69609,71611,47301,86104,87791,101082,68867,64011,39231,25621,25472,17685,8713,4295,0
415615599,1,18,62786,74935,75730,69922,57006,92367,59664,59789,82602,95127,79938,46410,49740,33942,20205,16942,9187,4336,0
415615599,2,18,55094,64086,62301,62900,53953,92795,61011,60985,81757,87682,75650,42623,47891,34726,24456,20613,12234,7777,0
415615699,1,18,50533,48252,26772,23175,33999,29171,27889,38134,40958,38033,33176,27461,23874,16409,15989,5578,3851,2325,0
415615699,2,18,38070,42352,20697,17639,38196,27097,30417,37778,38314,37589,32107,26850,22707,14800,17087,5953,3680,2818,0
415615799,1,18,148499,120125,76028,161241,236001,165667,108107,148820,203308,211180,172120,114400,89263,79928,58284,54049,17596,8790,0
415615799,2,18,96099,111561,44239,93889,220506,165820,100556,147928,196569,197733,165910,108379,89242,85837,63102,65588,23086,18523,0
415615999,1,18,47443,47463,53415,52928,105328,103649,72238,107867,98785,114193,81450,72903,34424,26019,26991,17211,10937,4362,0
415615999,2,18,40935,42457,44798,48242,111449,105759,75239,113285,96613,103587,79345,77433,39862,33500,34470,19758,11712,5074,0
415616099,1,18,58665,57571,64065,70944,66773,81877,71471,86041,107273,103198,84203,47703,57266,43828,34853,25605,15330,8112,0
415616099,2,18,54755,54972,62321,69775,70028,90805,79287,91915,107756,101524,86806,53868,62199,44520,35216,25581,16587,11599,0
415616499,1,18,26508,25095,21474,20728,23595,34791,42224,41245,43310,45564,46937,39244,37593,27402,16665,12018,9511,5610,0
415616499,2,18,24584,23441,19841,19980,23914,37157,49907,47108,45369,48202,48206,39789,38518,28584,17562,12330,10784,7541,0
415616599,1,18,82023,76833,80435,103681,127857,101547,98920,120631,127059,107419,80626,82064,59595,41446,32768,22528,11820,5708,0
415616599,2,18,68854,64753,69196,95848,126650,100229,95114,115126,122138,103507,76684,80359,57592,40679,33098,25117,14894,9506,0
415616699,1,18,131696,115891,118377,135356,212777,257783,184297,228401,250993,285451,260275,214562,229902,184338,113536,80185,43092,26476,0
415616699,2,18,121017,107750,111651,121450,182861,243637,197546,236306,266337,306176,267536,201317,222612,185930,121320,95740,59026,49537,0
415616799,1,18,31172,24190,29867,53701,46166,38891,39347,57542,57549,52713,36397,33677,28795,23221,13500,9432,3898,1689,0
415616799,2,18,22968,17513,19899,42120,47198,38157,37922,52429,52717,48154,36369,32115,28284,21894,14645,11463,5804,3505,0
415616899,1,18,354554,308127,251444,238413,231716,386026,451559,421793,406696,482743,508377,388192,384721,249880,161471,115788,75360,52856,0
415616899,2,18,320371,282198,231819,224615,224154,414018,506599,452976,419314,484891,485226,380122,392976,271109,187664,147803,107504,154439,0
415617199,1,18,52874,50528,59168,81839,87991,75161,78860,110111,141145,141506,105445,119551,90607,57738,44747,34203,21703,10467,0
415617199,2,18,47704,43955,52454,79725,96057,78633,83720,125318,162963,149385,96233,106956,82555,58179,43920,33577,25252,17248,0
415617299,1,18,103058,89784,70821,72048,81320,122481,155026,124745,165398,166010,152392,107356,133067,93101,66598,46831,30098,21985,0
415617299,2,18,96234,84534,66696,68767,80955,133300,160918,127935,169514,166386,153359,108602,141201,95937,64549,49822,37469,28228,0
415617499,1,18,47645,51393,46637,54502,59675,59305,74006,88613,96001,87810,69806,63263,42364,24354,25790,19287,10586,4249,0
415617499,2,18,42971,47046,43244,46106,55332,58225,68608,81560,89217,83994,66200,62754,40166,20543,22222,19664,12661,6932,0
415617799,1,18,121565,104916,80210,70235,91108,135489,168819,170232,157784,184443,156834,117206,130385,98153,67769,46597,32184,16207,0
415617799,2,18,110782,94481,72484,64226,91617,144737,186691,175334,159260,183673,156187,115624,129230,100421,67211,51592,44984,33231,0
415617899,1,18,57306,51208,63792,86767,91177,69131,73105,139046,163042,116776,83331,103669,77329,57101,38563,21270,12486,6088,0
415617899,2,18,57438,46335,61005,82976,87198,66112,69912,132975,155920,111674,79695,99142,73949,54604,36880,20339,11939,5828,0
415618099,1,18,143575,216165,155070,116105,83790,202265,174975,127550,130610,186910,164545,88795,117465,87860,63445,36860,26400,20735,0
415618099,2,18,97635,151830,111660,93865,75165,188100,161825,122630,133815,186760,177105,90620,112870,85155,62120,40455,32575,36825,0
415618499,1,18,41191,61464,64414,71846,77699,92203,86853,112467,110254,105032,72613,69803,40175,30987,22605,18848,7722,6476,0
415618499,2,18,40109,60069,63937,70993,78357,89972,83190,111642,115044,105814,73329,68767,41508,31389,25004,19680,7415,7041,0
415618799,1,18,88669,78814,74577,73891,130950,158202,102235,119935,135699,203261,221345,130089,163859,125475,79306,52497,33993,29550,0
415618799,2,18,80146,70357,65923,64862,107980,149392,108667,120835,140407,214667,225274,120912,149935,122244,86739,59123,37592,42058,0
415618899,1,18,27918,30814,32329,33499,30626,35385,37177,43266,59602,63740,53574,32419,35030,25790,16472,15803,12990,7890,0
415618899,2,18,26682,29982,30914,32814,31578,37187,36736,39781,55739,60961,52675,31736,34449,23050,12419,12307,10869,7443,0
415619199,1,18,52218,64340,60753,48527,58767,73651,84547,90823,96120,86812,96829,84615,75744,54670,32178,26384,20363,13484,0
415619199,2,18,46206,57233,55609,44877,54148,72641,94619,100757,101518,91428,97577,82752,77166,59010,36721,30607,23959,17960,0
415619399,1,18,159822,178550,145893,160612,200071,201432,157807,134229,118595,132704,128547,85898,82679,58690,43271,34342,20591,14961,0
415619399,2,18,133238,155618,117178,118064,162334,165960,132582,114798,113508,135831,132010,85162,78838,49388,36798,32484,27087,26305,0
415619499,1,18,214861,208601,198871,262232,306470,267521,253474,286706,286584,247153,179243,213736,140336,90057,68322,51400,29841,14265,0
415619499,2,18,195629,175545,143092,235340,297810,259831,229247,255796,263903,251550,176470,204406,147051,99493,77659,71796,45072,28226,0
415619599,1,18,66321,46931,36406,33768,53572,102317,69935,44258,49833,61402,58946,57346,48895,30267,21102,14547,8705,5639,0
415619599,2,18,61616,45825,36579,33206,53346,106569,73234,44194,51219,63184,60313,58347,52637,32790,22576,15981,12511,10654,0
415619699,1,18,61524,77725,52939,67043,122065,113424,134850,119478,147282,168464,134579,139944,103896,50884,39908,23690,16144,7836,0
415619699,2,18,54387,65607,46042,62049,120960,111147,123700,115998,141388,162402,129212,136063,100573,52117,36501,24660,16632,8378,0
415619899,1,18,49433,47809,47138,61034,62805,56190,52266,59679,67505,66083,55859,51834,44351,30846,21115,13371,7343,4218,0
415619899,2,18,44425,44234,45243,58670,60393,55109,50867,57127,66001,65136,56788,53485,45500,32629,22286,16759,11396,9269,0
415620099,1,18,154535,122252,95610,116564,146469,173887,171835,135604,153370,162107,137345,91409,101910,85888,56713,37189,19563,14668,0
415620099,2,18,130387,104539,80165,94653,135342,188652,201320,159756,167542,164284,141609,100014,121480,104044,64316,40334,26368,29587,0
415620199,1,18,102476,96234,106288,137458,163629,148505,155167,178338,229004,245822,213664,208231,201103,153373,119628,88887,55315,37589,0
415620199,2,18,98145,94016,105834,142822,173910,163202,172329,198852,251121,264749,221762,214696,206676,158735,126393,101015,71232,60409,0
415620299,1,18,74363,75297,80208,87636,101449,112060,114740,112652,107986,97960,81381,58082,48345,39822,23241,14236,9115,4905,0
415620299,2,18,62487,63647,60575,75911,84556,98541,101933,99264,99357,92749,80986,62758,51507,44205,37732,22024,17931,14829,0
415620599,1,18,90354,69050,59340,37442,99527,89574,71892,54334,77712,94515,83794,80887,56364,30717,22006,20301,10665,4295,0
415620599,2,18,74043,59940,51238,32606,91630,81307,67654,51312,72434,89731,77086,72923,51974,28572,20821,19862,11046,6218,0
415620799,1,18,107329,87716,88355,103924,97096,184582,113658,109673,143214,180168,178332,129382,137016,95825,60045,43536,26842,16847,0
