lat,lon,uv_mean
-21.02,-53.74,1.887745238095238
-21.02,-52.24,1.8943714285714286
-21.02,-50.74,1.904279761904762
-21.02,-49.24,1.8957214285714286
-21.02,-47.74,1.9179559523809524
-21.02,-46.24,1.892107142857143
-21.02,-44.74,1.878095238095238
-21.02,-43.24,1.7676833333333335
-21.02,-41.74,1.8452726190476192
-21.02,-40.24,1.9329892857142859
-19.52,-58.24,1.8615738095238095
-19.52,-56.74,1.903145238095238
-19.52,-55.24,1.9094357142857143
-19.52,-53.74,1.9865857142857142
-19.52,-52.24,1.9934904761904761
-19.52,-50.74,2.011085714285714
-19.52,-49.24,2.0157095238095235
-19.52,-47.74,1.9992202380952382
-19.52,-46.24,1.9812714285714286
-19.52,-44.74,2.0141619047619046
-19.52,-43.24,1.9355583333333335
-19.52,-41.74,1.888634523809524
-19.52,-40.24,1.8487988095238095
-18.02,-58.24,1.8971928571428571
-18.02,-56.74,1.9290595238095238
-18.02,-55.24,1.9394845238095237
-18.02,-53.74,2.0155511904761907
-18.02,-52.24,2.014727380952381
-18.02,-50.74,2.043584523809524
-18.02,-49.24,2.0576142857142856
-18.02,-47.74,2.062175
-18.02,-46.24,2.053579761904762
-18.02,-44.74,2.085432142857143
-18.02,-43.24,1.9829607142857142
-18.02,-41.74,1.9181821428571428
-18.02,-40.24,1.8839083333333333
-18.02,-38.74,2.1198642857142858
-16.52,-59.74,2.098554761904762
-16.52,-58.24,2.1237940476190476
-16.52,-56.74,1.9994166666666664
-16.52,-55.24,1.966870238095238
-16.52,-53.74,2.0320190476190474
-16.52,-52.24,2.0698226190476188
-16.52,-50.74,2.1141011904761906
-16.52,-49.24,2.128504761904762
-16.52,-47.74,2.1396607142857142
-16.52,-46.24,2.1520547619047616
-16.52,-44.74,2.178459523809524
-16.52,-43.24,2.163519047619048
-16.52,-41.74,2.0928809523809524
-16.52,-40.24,2.121445238095238
-16.52,-38.74,2.158886904761905
-15.02,-61.24,1.8725964285714285
-15.02,-59.74,2.1644178571428574
-15.02,-58.24,2.1754000000000002
-15.02,-56.74,2.236190476190476
-15.02,-55.24,2.0304714285714285
-15.02,-53.74,2.0479369047619045
-15.02,-52.24,2.066838095238095
-15.02,-50.74,2.1136690476190476
-15.02,-49.24,2.144441666666667
-15.02,-47.74,2.1668880952380953
-15.02,-46.24,2.160161904761905
-15.02,-44.74,2.2200309523809523
-15.02,-43.24,2.2740630952380956
-15.02,-41.74,2.373586904761905
-15.02,-40.24,2.3333583333333334
-15.02,-38.74,2.154664285714286
-13.52,-62.74,1.8890785714285714
-13.52,-61.24,1.9019595238095237
-13.52,-59.74,1.9094071428571429
-13.52,-58.24,2.225825
-13.52,-56.74,2.318827380952381
-13.52,-55.24,2.3107130952380954
-13.52,-53.74,2.1995535714285714
-13.52,-52.24,2.207197619047619
-13.52,-50.74,2.1940940476190476
-13.52,-49.24,2.158254761904762
-13.52,-47.74,2.1728821428571425
-13.52,-46.24,2.2110095238095235
-13.52,-44.74,2.298692857142857
-13.52,-43.24,2.4485916666666663
-13.52,-41.74,2.4652
-13.52,-40.24,2.4249535714285715
-13.52,-38.74,2.2234369047619045
-12.02,-65.74,1.834352380952381
-12.02,-64.24,1.8653107142857144
-12.02,-62.74,1.8839666666666666
-12.02,-61.24,1.8867714285714285
-12.02,-59.74,1.9059857142857144
-12.02,-58.24,1.9522738095238092
-12.02,-56.74,2.2606738095238095
-12.02,-55.24,2.3096309523809526
-12.02,-53.74,2.269542857142857
-12.02,-52.24,2.2999107142857143
-12.02,-50.74,2.3029916666666668
-12.02,-49.24,2.190732142857143
-12.02,-47.74,2.2234678571428574
-12.02,-46.24,2.240675
-12.02,-44.74,2.300192857142857
-12.02,-43.24,2.372111904761905
-12.02,-41.74,2.4516166666666668
-12.02,-40.24,2.403983333333333
