lat,lon,uv_mean
29.56,-2.18,1.6494059523809523
29.56,-1.18,1.6419011904761904
29.56,-0.18,1.626415476190476
29.56,0.82,1.6094797619047618
29.56,1.82,1.6177154761904762
29.56,2.82,1.6211071428571429
29.56,3.82,1.6113940476190476
29.56,4.82,1.6322845238095238
29.56,5.82,1.6747464285714286
29.56,6.82,1.6241880952380954
29.56,7.82,1.6214
29.56,8.82,1.635109523809524
29.56,9.82,1.6428511904761907
30.56,-5.18,1.661845238095238
30.56,-4.18,1.645129761904762
30.56,-3.18,1.6482892857142857
30.56,-2.18,1.6426642857142857
30.56,-1.18,1.653865476190476
30.56,-0.18,1.6548202380952381
30.56,0.82,1.6602583333333334
30.56,1.82,1.6361785714285715
30.56,2.82,1.6106892857142858
30.56,3.82,1.5582630952380951
30.56,4.82,1.5889
30.56,5.82,1.5645690476190475
30.56,6.82,1.5734095238095238
30.56,7.82,1.5671321428571428
30.56,8.82,1.568472619047619
30.56,9.82,1.5801440476190476
31.56,-3.18,1.6135654761904763
31.56,-2.18,1.582254761904762
31.56,-1.18,1.605675
31.56,-0.18,1.5823511904761904
31.56,0.82,1.598847619047619
31.56,1.82,1.603059523809524
31.56,2.82,1.5698738095238096
31.56,3.82,1.5180892857142858
31.56,4.82,1.516252380952381
31.56,5.82,1.4827404761904763
31.56,6.82,1.4770630952380952
31.56,7.82,1.5094845238095238
31.56,8.82,1.5114738095238094
32.56,-2.18,1.5848952380952381
32.56,-1.18,1.5864583333333333
32.56,-0.18,1.5743916666666666
32.56,0.82,1.557502380952381
32.56,1.82,1.55165
32.56,2.82,1.5427392857142856
32.56,3.82,1.495572619047619
32.56,4.82,1.489025
32.56,5.82,1.4312345238095239
32.56,6.82,1.4411154761904763
32.56,7.82,1.448702380952381
32.56,8.82,1.4750928571428572
33.56,-2.18,1.5384785714285714
33.56,-1.18,1.5287726190476192
33.56,-0.18,1.5146666666666668
33.56,0.82,1.5146619047619048
33.56,1.82,1.51
33.56,2.82,1.4987511904761905
33.56,3.82,1.4627226190476192
33.56,4.82,1.4546857142857144
33.56,5.82,1.3831761904761906
33.56,6.82,1.3863035714285714
33.56,7.82,1.38075
34.56,-2.18,1.4155023809523808
34.56,-1.18,1.441970238095238
34.56,-0.18,1.4377
34.56,0.82,1.4393059523809524
34.56,1.82,1.4413654761904762
34.56,2.82,1.4461761904761903
34.56,3.82,1.4407154761904761
34.56,4.82,1.4382440476190477
34.56,5.82,1.402022619047619
34.56,6.82,1.3884285714285713
34.56,7.82,1.410047619047619
35.56,-2.18,1.2564130952380954
35.56,-1.18,1.2837880952380951
35.56,-0.18,1.2862619047619048
35.56,0.82,1.3069833333333334
35.56,1.82,1.317225
35.56,2.82,1.3694607142857143
35.56,3.82,1.3616940476190476
35.56,4.82,1.3587250000000002
35.56,5.82,1.3471095238095236
35.56,6.82,1.3070357142857143
35.56,7.82,1.3064904761904763
35.56,8.82,1.2881642857142857
36.56,-0.18,1.2652630952380952
36.56,0.82,1.2286535714285716
36.56,1.82,1.2157595238095238
36.56,2.82,1.2350607142857144
36.56,3.82,1.2387035714285715
36.56,4.82,1.244357142857143
36.56,5.82,1.2388404761904763
36.56,6.82,1.2291297619047619
36.56,7.82,1.2198083333333332
36.56,8.82,1.2184880952380952
37.56,5.82,1.212420238095238
37.56,6.82,1.1834428571428572
37.56,7.82,1.175875
